,date,clientId,clientName,clientType,productId,productName,productCategory,productPrice,saleAmount,saleDiscount
0,2024-01-01,64197,John Doe,Premium,3370,Widget Deluxe,Gadgets,13262.125150022717,14085.60459656448,10%
1,2024-01-01,19908,John Doe,Premium,5519,Widget Deluxe,Gadgets,8980.587932181423,11385.563557636684,10%
2,2024-01-01,31258,John Doe,Premium,5649,Widget Deluxe,Gadgets,18276.11652964417,9111.906681266686,10%
3,2024-01-01,54491,John Doe,Premium,4003,Widget Deluxe,Gadgets,12346.08207431104,16867.11471602697,10%
4,2024-01-01,92167,John Doe,Premium,4535,Widget Deluxe,Gadgets,14256.513328795216,18516.28907596295,10%
5,2024-01-01,9577,John Doe,Premium,3933,Widget Deluxe,Gadgets,14912.56759832589,15402.451112450186,10%
6,2024-01-01,89830,John Doe,Premium,5111,Widget Deluxe,Gadgets,12805.474931872093,5329.361395260986,10%
7,2024-01-01,86517,John Doe,Premium,7642,Widget Deluxe,Gadgets,18074.586641172762,10619.314304066285,10%
8,2024-01-01,43024,John Doe,Premium,4488,Widget Deluxe,Gadgets,9233.039173003412,13101.733882436132,10%
9,2024-01-01,18432,John Doe,Premium,7390,Widget Deluxe,Gadgets,15361.923159432172,18872.198281689016,10%
10,2024-01-01,56332,John Doe,Premium,3920,Widget Deluxe,Gadgets,12381.69636939744,17537.782812145757,10%
11,2024-01-01,85878,John Doe,Premium,4839,Widget Deluxe,Gadgets,22332.739875994404,16181.66228824473,10%
12,2024-01-01,93818,John Doe,Premium,4785,Widget Deluxe,Gadgets,6752.786453562338,7109.6870054291585,10%
13,2024-01-01,10950,John Doe,Premium,3778,Widget Deluxe,Gadgets,12572.411952616503,15638.459224826842,10%
14,2024-01-01,2985,John Doe,Premium,8626,Widget Deluxe,Gadgets,10798.104226280126,15706.371066577838,10%
15,2024-01-01,69549,John Doe,Premium,6395,Widget Deluxe,Gadgets,14415.97189267094,16907.439305445787,10%
16,2024-01-01,94442,John Doe,Premium,6900,Widget Deluxe,Gadgets,14365.162467785964,8484.784844935237,10%
17,2024-01-01,99674,John Doe,Premium,3038,Widget Deluxe,Gadgets,17385.06942865566,7694.712751311985,10%
18,2024-01-01,66206,John Doe,Premium,5735,Widget Deluxe,Gadgets,14434.577770242488,13548.856931375663,10%
19,2024-01-01,70720,John Doe,Premium,4306,Widget Deluxe,Gadgets,10839.963694030312,14862.98499701067,10%
20,2024-01-01,72214,John Doe,Premium,5505,Widget Deluxe,Gadgets,13843.899209138524,6814.833613070811,10%
21,2024-01-01,34790,John Doe,Premium,3491,Widget Deluxe,Gadgets,16334.564232230146,14458.902644784966,10%
22,2024-01-01,84693,John Doe,Premium,3446,Widget Deluxe,Gadgets,10992.936438778748,5564.593200113033,10%
23,2024-01-01,72510,John Doe,Premium,6141,Widget Deluxe,Gadgets,18206.815046956246,14399.486153532416,10%
